1775 5
60000 0.05 1260000
0.06 0.06 0.06 0.06 0.06
25200 25200 25200 25200 25200
-0.168598806	-0.623606142	1
-0.054105207	-1.047546617	1
-0.064751715	-0.672649894	1
-0.275412956	-0.83653631	5
-0.345749725	-0.767072206	1
-0.27209683	-0.978955177	1
-0.12409291	-0.608421777	1
-0.399680399	-0.753982237	2
-0.481536341	-0.847182819	1
-0.410326907	-0.81803582	1
-0.399680399	-0.821351946	1
-0.409454243	-0.812101701	1
-0.412944901	-0.812101701	2
-0.404392788	-0.800757061	1
-0.410850506	-0.81384703	8
-0.410152374	-0.82815873	1
-0.18675023	-0.853466004	1
-0.168598806	-0.623606142	1
-0.226369204	-0.672126295	9
-0.064751715	-0.672649894	1
-0.275412956	-0.83653631	2
-0.290946386	-0.859574657	1
-0.025307274	-0.846484687	1
-0.126187305	-0.626224136	2
-0.12409291	-0.608421777	2
-0.140499005	-0.608770843	14
-0.101054564	-0.614355897	3
-0.152890842	-1.115265392	1
-0.190415421	-0.646993554	2
-0.410850506	-0.81384703	1
-0.168598806	-0.623606142	2
-0.054105207	-1.047546617	1
-0.226369204	-0.672126295	2
-0.275412956	-0.83653631	1
-0.290946386	-0.859574657	1
-0.345749725	-0.767072206	2
-0.12409291	-0.608421777	1
-0.163886417	-0.706858347	1
-0.140499005	-0.608770843	6
-0.370009801	-0.735132681	1
-0.399680399	-0.753982237	10
-0.398284135	-0.751364243	1
-0.101054564	-0.614355897	1
-0.190415421	-0.646993554	1
-0.369486203	-0.834441915	1
-0.404392788	-0.800757061	2
-0.410850506	-0.81384703	2
-0.401774794	-0.794997474	1
-0.168598806	-0.623606142	1
-0.226369204	-0.672126295	3
-0.064751715	-0.672649894	1
-0.275412956	-0.83653631	3
-0.284837734	-0.854338669	1
-0.29356438	-0.859400124	1
-0.290946386	-0.859574657	1
-0.280299878	-0.837234442	1
-0.330041762	-0.84247043	1
-0.356745299	-0.953647903	1
-0.025307274	-0.846484687	1
-0.126187305	-0.626224136	1
